round,kept_frac,pruned_frac,accuracy,macro_f1
0,1.0,0.0,0.9430714285714286,0.9425058994780307
1,0.8000624804748516,0.19993751952514838,0.9445714285714286,0.9440243600138098
2,0.6401124648547329,0.35988753514526706,0.9461428571428572,0.9456144100133164
3,0.5121055920024992,0.48789440799750083,0.94,0.9394871077937733
4,0.4097157138394252,0.5902842861605748,0.9352857142857143,0.9347385992881854
5,0.32778819119025304,0.672211808809747,0.9167142857142857,0.9157833444470846
6,0.2622617931896282,0.7377382068103717,0.8866428571428572,0.8869703492008721
