round,kept_frac,pruned_frac,accuracy,macro_f1
0,1.0,0.0,0.9430714285714286,0.9425058994780307
1,0.9000312402374258,0.09996875976257424,0.9437142857142857,0.9432163509595076
2,0.810059356451109,0.18994064354889095,0.9452142857142857,0.944666539947056
3,0.729069040924711,0.27093095907528897,0.9458571428571428,0.9453062101175966
4,0.6562011871290222,0.3437988128709778,0.9451428571428572,0.9446016833181934
5,0.5905966885348328,0.4094033114651672,0.9441428571428572,0.9436084093465789
6,0.5315526398000625,0.4684473601999375,0.9430714285714286,0.9425815826998696
